Gene Symbol	Locus ID	Cytoband	Sample	relative_cn	Patient_ID	type	purity	ploidy	ABSOLUTE CN	Loss type
VPS4A	27183	16q22.1	TCGA-OR-A5J1-01A-11D-A29H-01	0.028	TCGA-OR-A5J1	ACC	0.9	2	2.03919536599638	neutral
VPS4A	27183	16q22.1	TCGA-OR-A5J2-01A-11D-A29H-01	0.005	TCGA-OR-A5J2	ACC	0.89	1.3	1.30451327306235	neutral
VPS4A	27183	16q22.1	TCGA-OR-A5J3-01A-11D-A29H-01	1.36	TCGA-OR-A5J3	ACC	0.93	1.27	3.25990177980978	gain
VPS4A	27183	16q22.1	TCGA-OR-A5J4-01A-11D-A29H-01	2.85	TCGA-OR-A5J4	ACC	0.87	2.6	18.7460096223053	gain
VPS4A	27183	16q22.1	TCGA-OR-A5J5-01A-11D-A29H-01	1.76	TCGA-OR-A5J5	ACC	0.93	2.79	9.4496776859658	gain
VPS4A	27183	16q22.1	TCGA-OR-A5J6-01A-31D-A29H-01	-0.074	TCGA-OR-A5J6	ACC	0.69	3.34	3.17300127880212	neutral
VPS4A	27183	16q22.1	TCGA-OR-A5J7-01A-11D-A29H-01	0.25	TCGA-OR-A5J7	ACC	0.84	2.6	3.09193849900707	gain
VPS4A	27183	16q22.1	TCGA-OR-A5J8-01A-11D-A29H-01	-0.085	TCGA-OR-A5J8	ACC	0.76	1.23	1.15962497917943	neutral
VPS4A	27183	16q22.1	TCGA-OR-A5J9-01A-11D-A29H-01	0.765	TCGA-OR-A5J9	ACC	0.84	2.61	4.43535569550375	gain
VPS4A	27183	16q22.1	TCGA-OR-A5JA-01A-11D-A29H-01	0.748	TCGA-OR-A5JA	ACC	0.75	5.52	9.27063568210331	gain
VPS4A	27183	16q22.1	TCGA-OR-A5JB-01A-11D-A29H-01	0.018	TCGA-OR-A5JB	ACC	0.75	1.78	1.80234755708388	neutral
VPS4A	27183	16q22.1	TCGA-OR-A5JC-01A-11D-A29H-01	0.371	TCGA-OR-A5JC	ACC	0.75	2.77	3.58229954132834	gain
VPS4A	27183	16q22.1	TCGA-OR-A5JD-01A-11D-A29H-01	0.038	TCGA-OR-A5JD	ACC	0.7	3.12	3.2032713826464	neutral
VPS4A	27183	16q22.1	TCGA-OR-A5JE-01A-11D-A29H-01	0.479	TCGA-OR-A5JE	ACC	0.72	3.32	4.6273404324424	gain
VPS4A	27183	16q22.1	TCGA-OR-A5JF-01A-11D-A29H-01	1.3	TCGA-OR-A5JF	ACC	0.87	1.43	3.52107302216646	gain
VPS4A	27183	16q22.1	TCGA-OR-A5JG-01A-11D-A29H-01	0.788	TCGA-OR-A5JG	ACC	0.76	5.68	9.80753738540532	gain
VPS4A	27183	16q22.1	TCGA-OR-A5JH-01A-11D-A309-01	0.32	TCGA-OR-A5JH	ACC	0.52	1.56	1.94739565628651	gain
VPS4A	27183	16q22.1	TCGA-OR-A5JI-01A-11D-A29H-01	0.495	TCGA-OR-A5JI	ACC	0.62	2.98	4.19977585032322	gain
